Id,Account,Date,Attitude,Text
735983722831437824,@HillaryClinton,Thu May 26 23:59:28 +0000 2016,:),"RT @HillaryClinton: There’s nothing more important than protecting our kids. If we fail at that, it doesn’t matter what we get right. https…"
735983721841623040,@HillaryClinton,Thu May 26 23:59:27 +0000 2016,:),RT @HillaryPix: #ImWithHer #HillaryClinton #ShesWithUs #BernieSanders #FeelTheBern @HillaryClinton #HRCIsOurNominee #BernieOrBust https://t…
735983714014875649,@HillaryClinton,Thu May 26 23:59:25 +0000 2016,:),@ScottPresler @HillaryClinton ROTFLMAO!!
735983708604379136,@HillaryClinton,Thu May 26 23:59:24 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
735983706783911937,@HillaryClinton,Thu May 26 23:59:24 +0000 2016,:),RT @handley_dix: @HillaryClinton @billclinton https://t.co/QQZdPpH7eZ
735983702539395072,@HillaryClinton,Thu May 26 23:59:23 +0000 2016,:),RT @shrewst: Am I the only one seeing how old guard #Republicans are coming out for @HillaryClinton and their supporters love it? https://t…
735983702442835969,@HillaryClinton,Thu May 26 23:59:23 +0000 2016,:),"RT @WDFx2EU2: Get some new content, @HillaryClinton, you're boring the hell out of me. https://t.co/dxRQkjjyvR"
735983696877080576,@HillaryClinton,Thu May 26 23:59:21 +0000 2016,:),RT @GiGicmka: @KWkq7 @jamieleecurtis @iRhysTay @HillaryClinton Describes him to a tee.  #CONman
735983694318440448,@HillaryClinton,Thu May 26 23:59:21 +0000 2016,:),"RT @HillaryClinton: Born on this day in 1951, Dr. Sally Ride was the first American woman &amp; first LGBT astronaut in space. #SallyRideDay ht…"
735983692980441090,@HillaryClinton,Thu May 26 23:59:20 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
735983691940384768,@HillaryClinton,Thu May 26 23:59:20 +0000 2016,:),"RT @ShannonSanford9: I Can't Hear You Over My 2nd Amendment Rights, @HillaryClinton!  #2A #ShallNotBeInfringed #NRA https://t.co/S1eBST9LiR"
735983685678178309,@HillaryClinton,Thu May 26 23:59:19 +0000 2016,:),@thehill Worst decision @POTUS made. @HillaryClinton  as SOS. Now he's stuck with the fallout. #Libya
735983683690102786,@HillaryClinton,Thu May 26 23:59:18 +0000 2016,:),Would @HillaryClinton make a good president?
735983683677618176,@HillaryClinton,Thu May 26 23:59:18 +0000 2016,:),".@agearan .@mitchellreports Wow, you really think .@HillaryClinton worshippers will vote for her no matter what? #ThanksForThatNewsFlash"
735983682024939524,@HillaryClinton,Thu May 26 23:59:18 +0000 2016,:),"RT @cmarinucci: In SF, @HillaryClinton event quickly filling with energetic crowd though doesn't start for at least an hour https://t.co/DP…"
735983679772708865,@HillaryClinton,Thu May 26 23:59:17 +0000 2016,:),RT @HillaryClinton: “We’ve got to do more to raise families’ incomes.   We can start by raising the federal minimum wage.” —Hillary https:/…
735983678858403841,@HillaryClinton,Thu May 26 23:59:17 +0000 2016,:),@thehill το οποιο μολις ξεκιναει να μετραει την νοημοσυνη ακουγεται ενα WOOOOOOOW Απο Τη Γιατρο την Ιδια που ΞΕΠΕΡΝΑ ΤΟ 120 @HillaryClinton
735983675771359232,@HillaryClinton,Thu May 26 23:59:16 +0000 2016,:),RT @JordanChariton: California Primary Poll: @HillaryClinton 46% @BernieSanders 44% (5 point margin of error) #FeeltheBern
735983674512936961,@HillaryClinton,Thu May 26 23:59:16 +0000 2016,:),@agearan @mitchellreports @HillaryClinton  Whole server issue is too techie for most people to understand. Questions would have been handled
735983671690174465,@HillaryClinton,Thu May 26 23:59:15 +0000 2016,:),@HillaryClinton @marcorubio #hillaryforprison #TrumpTrain #VoteTrump2016 #Trump2016 https://t.co/cRfaFPAyR0
735983671451095040,@HillaryClinton,Thu May 26 23:59:15 +0000 2016,:),@shadohchaser @HillaryClinton @marcorubio good one and they are
735983671191175168,@HillaryClinton,Thu May 26 23:59:15 +0000 2016,:),@PieFarmer @1938loren @HillaryClinton Now hes feeling the bern...
735983665012977666,@HillaryClinton,Thu May 26 23:59:14 +0000 2016,:),RT @agearan: .@HillaryClinton: Clinton voters will look past concerns over email system  https://t.co/Epub1xHUE7 https://t.co/cb5HocOGFv
735983664555827200,@HillaryClinton,Thu May 26 23:59:14 +0000 2016,:),@lbradley71 @politifax @HillaryClinton @BernieSanders BS is hell-bent on destroying d Democratic Party! He is going to (woefully) fail!!!
735983663242960896,@HillaryClinton,Thu May 26 23:59:13 +0000 2016,:),"RT @HillaryClinton: When the economy crashed, families saw their homes foreclosed and savings disappear.   Trump saw a chance to profit. ht…"
735983656808763392,@HillaryClinton,Thu May 26 23:59:12 +0000 2016,:),#ImWithHer #HillaryClinton #ShesWithUs #BernieSanders #FeelTheBern @HillaryClinton #HRCIsOurNominee #BernieOrBust https://t.co/2e1DrvHhOS
735983656720814081,@HillaryClinton,Thu May 26 23:59:12 +0000 2016,:),RT @becketybeck: @HillaryClinton @ajjaffe @NBCNews  I worry that #Trump who roots for bubble to boost his business will use POTUS to create…
735983656208977920,@HillaryClinton,Thu May 26 23:59:12 +0000 2016,:),@HillaryClinton has been lying straight out for YEARS!  Where have you been @Morning_Joe ?? This is nothing new. https://t.co/K16n8P3hAI
735983656129335296,@HillaryClinton,Thu May 26 23:59:12 +0000 2016,:),@agearan @HillaryClinton the most unlikeable woman ever
735983653969350657,@HillaryClinton,Thu May 26 23:59:11 +0000 2016,:),RT @Braveheart_USA: To be clear @HillaryClinton how is not cooperating with the @FBI email investigation  considered cooperating? https://t…
735983653646372864,@HillaryClinton,Thu May 26 23:59:11 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
735983650207076352,@HillaryClinton,Thu May 26 23:59:10 +0000 2016,:),@HillaryClinton I'm so grateful we have good and descent people in politics like Elizabeth Warren it infuriates me to hear Trump bash her.
735983649762353152,@HillaryClinton,Thu May 26 23:59:10 +0000 2016,:),"RT @France4Hillary: Benghazi isn't a scandal, but a weak GOP attempt to smear @HillaryClinton that failed miserably! #ImWithHer #HillYes ht…"
735983639960358912,@HillaryClinton,Thu May 26 23:59:08 +0000 2016,:),RT @Horvitastic: Stop by our Newark office and make calls for @HillaryClinton and hang out with our organizer Lucy! #HillaryforNJ https://t…
735983638160936960,@HillaryClinton,Thu May 26 23:59:07 +0000 2016,:),RT @HillaryClinton: Trump stood by his proposed Muslim ban just last week. Now he's trying to backpedal. Don't let him. https://t.co/rILrbZ…
735983633446535168,@HillaryClinton,Thu May 26 23:59:06 +0000 2016,:),RT @nowthisnews: .@BernieSanders is actually outpolling @HillaryClinton is multiple head-to-head match-ups with Donald Trump https://t.co/v…
735983629067792384,@HillaryClinton,Thu May 26 23:59:05 +0000 2016,:),RT @HillaryClinton: Trump's wall on the border would likely cost at least $25 billion.   Some things we could do instead: https://t.co/RDbk…
735983627104866304,@HillaryClinton,Thu May 26 23:59:05 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
